company_name,domain,funding_usd,status,sector,shutdown_date,notes
JinkoSolar Holding,jinkosolar.com,$260.0M,closed,cleantech,,Market: Clean Technology; Source: Crunchbase
AltraBiofuels,altrabiofuels.com,$228.5M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
SolFocus,solfocus.com,$211.4M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Range Fuels,rangefuels.com,$186.2M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Biolex Therapeutics,biolex.com,$172.3M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Official Limited Virtual,officialvirtualdj.com,$170.6M,closed,music,,Market: Music; GBR; Source: Crunchbase
SulfurCell,sulfurcell.de,$158.7M,closed,cleantech,,Market: Clean Technology; DEU; Source: Crunchbase
S*Bio,sbio.com,$143.5M,closed,biotech,,Market: Biotechnology; SGP; Source: Crunchbase
CipherMax,ciphermaxinc.com,$141.5M,closed,security,,Market: Security; USA; Source: Crunchbase
NeoVista,neovistainc.com,$130.0M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Pocket Communications Northeast,pocket.com,$125.0M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Ausra,ausra.com,$123.3M,closed,solar,,Market: Solar; USA; Source: Crunchbase
Aerovance,aerovance.com,$120.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Hana Biosciences,hanabiosciences.com,$116.3M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Cellerix,cellerix.com,$115.4M,closed,biotech,,Market: Biotechnology; ESP; Source: Crunchbase
AVA Solar,avasolar.com,$104.0M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Alta Wind Energy Center,altawindenergycenter.com,$102.0M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
NanoInk,nanoink.net,$100.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
UK-EastLondon-Asian. Inc,uk-eastlondon-asian.co.uk,$100.0M,closed,other,,GBR; Source: Crunchbase
Dilithium Networks,onmobile.com,$99.7M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
GreenVolts,greenvolts.com,$96.8M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Think Global,think.no,$96.7M,closed,cleantech,,Market: Clean Technology; Source: Crunchbase
Telsima,telsima.com,$95.0M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
PixelOptics,pixeloptics.com,$92.5M,closed,medical devices,,Market: Medical Devices; USA; Source: Crunchbase
Lux Biosciences,luxbio.com,$90.2M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Arcadian Networks,greentechmedia.com,$90.0M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Odersun,odersun.com,$90.0M,closed,other,,Source: Crunchbase
Konarka Technologies,konarkatech.com,$88.8M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Beyond Oblivion,beyondoblivion.com,$87.0M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
OurHouse,sddt.com,$85.3M,closed,retail,,Market: Retail; Source: Crunchbase
modu,modumobile.com,$85.0M,closed,wireless,,Market: Wireless; ISR; Source: Crunchbase
agri.capital,agri-capital.de,$81.7M,closed,cleantech,,Market: Clean Technology; DEU; Source: Crunchbase
PhotoThera,photothera.com,$80.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Azingo,celunite.net,$80.0M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Nanoradio,nanoradio.com,$80.0M,closed,hardware,,Market: Semiconductors; SWE; Source: Crunchbase
Sequoia Communications,sequoiacommunications.com,$74.0M,closed,hardware,,Market: Semiconductors; USA; Source: Crunchbase
Cylene Pharmaceuticals,cylenepharma.com,$72.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
RadioFrame,radioframenetworks.com,$68.0M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Link Medicine,linkmedicine.com,$64.8M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
NextIO,nextio.com,$64.6M,closed,networking,,Market: Networking; USA; Source: Crunchbase
OneChip Photonics,onechipphotonics.com,$64.3M,closed,hardware,,Market: Semiconductors; CAN; Source: Crunchbase
C8 MediSensors,c8-inc.com,$64.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
ContextWeb,contextweb.com,$63.5M,closed,adtech,,Market: Advertising; USA; Source: Crunchbase
Satiety,satiety.com,$62.8M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Standard Renewable Energy,sre3.com,$61.5M,closed,hardware,,Market: Semiconductors; USA; Source: Crunchbase
NeuroVista,neurovista.com,$61.3M,closed,medical,,Market: Medical; USA; Source: Crunchbase
Phenomix,phenomixcorp.com,$61.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Sequoia Pharmaceuticals,sequoiapharmaceuticals.com,$60.8M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Digital Domain Media Group,ddmg.co,$58.5M,closed,design,,Market: Design; USA; Source: Crunchbase
NeuroTherapeutics Pharma,ntprx.com,$58.2M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Internet REIT,ireit.com,$58.0M,closed,web hosting,,Market: Web Hosting; Source: Crunchbase
Hutchinson Technology,htch.com,$57.2M,closed,saas,,Market: Software; USA; Source: Crunchbase
CELLFOR,cellfor.com,$56.5M,closed,cleantech,,Market: Clean Technology; CAN; Source: Crunchbase
Shocking Technologies,shockingtechnologies.com,$55.9M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
Wisair,wisair.com,$55.8M,closed,hardware,,Market: Semiconductors; ISR; Source: Crunchbase
MOLI,moli.com,$55.6M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Nordic Windpower,nordicwindpower.com,$54.0M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Your Energy,your-energy.co.uk,$53.0M,closed,cleantech,,Market: Clean Technology; GBR; Source: Crunchbase
Reef Point Systems,reefpoint.com,$52.0M,closed,security,,Market: Security; USA; Source: Crunchbase
IGA Worldwide,igaworldwide.com,$51.4M,closed,adtech,,Market: Advertising; USA; Source: Crunchbase
Genizon BioSciences,genizon.com,$51.3M,closed,biotech,,Market: Biotechnology; CAN; Source: Crunchbase
SecureAlert,remotemdx.com,$50.4M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Blowtorch,blowtorch.com,$50.0M,closed,entertainment,,Market: Entertainment; USA; Source: Crunchbase
Applied Quantum Technologies,aqtsolar.com,$49.8M,closed,manufacturing,,Market: Manufacturing; USA; Source: Crunchbase
NovaSys,novasyshealth.com,$49.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
QSecure,qsecure.com,$49.0M,closed,security,,Market: Security; USA; Source: Crunchbase
Hammerhead Systems,stephenlaughlin.posterous.com,$48.0M,closed,web hosting,,Market: Web Hosting; USA; Source: Crunchbase
SearchMe,searchme.com,$46.9M,closed,visual search,,Market: Visual Search; USA; Source: Crunchbase
Voyage Medical,voyagemedical.com,$46.4M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
ConSentry Networks,consentry.com,$46.4M,closed,services,,Market: Consulting; USA; Source: Crunchbase
Iunika,iunika.com,$46.0M,closed,saas,,Market: Software; Source: Crunchbase
Cytheris,cytheris.com,$45.7M,closed,biotech,,Market: Biotechnology; FRA; Source: Crunchbase
NOVASYS MEDICAL,novasysmedical.com,$45.4M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Goodmail Systems,goodmailsystems.com,$45.0M,closed,email marketing,,Market: Email Marketing; USA; Source: Crunchbase
Tioga Energy,tiogaenergy.com,$45.0M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Pervasis Therapeutics,pervasistx.com,$44.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Zero9,zero9group.com,$44.2M,closed,microblogging,,Market: MicroBlogging; ITA; Source: Crunchbase
Apnex Medical,apnexmedical.com,$44.0M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Paracor Medical,paracormedical.com,$44.0M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
RPO,rpo.biz,$44.0M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
Liquid Computing,liquidcomputing.com,$44.0M,closed,public relations,,Market: Public Relations; CAN; Source: Crunchbase
Apieron,apieron.com,$43.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
OpVista,opvista.com,$43.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
Danotek Motion Technologies,danotekmotion.com,$42.7M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Roxro Pharma,roxropharma.com,$42.7M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Spectrawatt,spectrawatt.com,$41.4M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Color Labs Inc.,color.com,$41.0M,closed,proximity internet,,Market: Proximity Internet; USA; Source: Crunchbase
Vaprema,vaperma.com,$40.3M,closed,cleantech,,Market: Clean Technology; Source: Crunchbase
Enforta,enforta.ru,$40.0M,closed,mobile,,Market: Mobile; RUS; Source: Crunchbase
Hoyos Corporation,hoyosgroup.com,$40.0M,closed,saas,,Market: Enterprise Software; USA; Source: Crunchbase
Zango,zango.com,$40.0M,closed,gaming,,Market: Games; USA; Source: Crunchbase
Synchronica,synchronica.com,$39.7M,closed,mobile,,Market: Mobile; GBR; Source: Crunchbase
MagnaChip Semiconductor,magnachip.com,$39.5M,closed,hardware,,Market: Semiconductors; LUX; Source: Crunchbase
SemiSouth Laboratories,semisouth.com,$39.0M,closed,electronics,,Market: Electronics; USA; Source: Crunchbase
Aureon Laboratories,aureon.com,$38.3M,closed,biotech,,Market: Biotechnology; Source: Crunchbase
Alloptic,alloptic.com,$38.0M,closed,public relations,,Market: Public Relations; USA; Source: Crunchbase
G10 Entertainment,g10korea.com,$38.0M,closed,gaming,,Market: Games; Source: Crunchbase
Unigene Laboratories,unigene.com,$37.8M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Embedded Internet Solutions,embisoft.com,$36.6M,closed,saas,,Market: Software; CHN; Source: Crunchbase
RipCode,ripcode.com,$36.5M,closed,saas,,Market: Software; USA; Source: Crunchbase
Aptera,forbes.com,$36.3M,closed,automotive,,Market: Automotive; USA; Source: Crunchbase
SupportSpace,supportspace.com,$36.2M,closed,collaboration,,Market: Collaboration; ISR; Source: Crunchbase
Akimbo,venturebeat.com,$36.1M,closed,personal branding,,Market: Personal Branding; USA; Source: Crunchbase
MedShape,medshapesolutions.com,$36.0M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
MicroEmissive Displays Group,microemissive.com,$35.3M,closed,hardware,,Market: Semiconductors; GBR; Source: Crunchbase
Financial Information Network & Operations Pvt,fino.co.in,$35.0M,closed,fintech,,Market: Finance; IND; Source: Crunchbase
International Battery,internationalbattery.com,$35.0M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Mail.com Media Corporation,corp.mail.com,$35.0M,closed,email,,Market: Email; USA; Source: Crunchbase
WhenU.com,whenu.com,$35.0M,closed,saas,,Market: Software; Source: Crunchbase
OfficialVirtualDJ,officialvirtualdjmusic.co.uk,$34.8M,closed,music,,Market: Music; GBR; Source: Crunchbase
SVTC Technologies,svtc.com,$34.0M,closed,web hosting,,Market: Web Hosting; USA; Source: Crunchbase
Medley Health,medleyhealth.com,$33.0M,closed,healthtech,,Market: Health and Wellness; USA; Source: Crunchbase
CV Ingenuity,cvingenuity.com,$32.7M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Metallkraft AS,metallkraft.no,$32.5M,closed,cleantech,,Market: Clean Technology; NOR; Source: Crunchbase
Altheos,altheos.net,$32.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Enigmatec,enigmatec.com,$32.5M,closed,saas,,Market: Enterprise Software; GBR; Source: Crunchbase
rPath,rpath.com,$32.5M,closed,saas,,Market: Enterprise Software; USA; Source: Crunchbase
APT Pharmaceuticals,aptbio.com,$32.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Eons,eons.com,$32.0M,closed,social network media,,Market: Social Network Media; USA; Source: Crunchbase
Mpex Pharmaceuticals,mpexpharma.com,$32.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Visiprise,visiprise.com,$32.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
Zeugma Systems,zeugmasystems.com,$31.5M,closed,web hosting,,Market: Web Hosting; CAN; Source: Crunchbase
Global Roaming,globalroaming.us,$30.5M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Ecast,ecastnetwork.com,$30.3M,closed,music,,Market: Music; USA; Source: Crunchbase
Cswitch,cswitch.com,$30.0M,closed,hardware,,Market: Semiconductors; USA; Source: Crunchbase
GridNetworks,gridnetworks.com,$30.0M,closed,gaming,,Market: Games; USA; Source: Crunchbase
Infineta Systems,riverbed.com,$30.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
N2N Commerce,n2ncommerce.com,$30.0M,closed,ecommerce,,Market: E-Commerce; USA; Source: Crunchbase
Cozi Group,cozi.com,$29.6M,closed,online scheduling,,Market: Online Scheduling; USA; Source: Crunchbase
Plato Networks,platonetworks.com,$29.5M,closed,hardware,,Market: Semiconductors; USA; Source: Crunchbase
Jentro Technologies,jentro.com,$29.0M,closed,mobile,,Market: Mobile; DEU; Source: Crunchbase
Trinity Biosystems,trinitybiosystems.com,$28.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
ANTs Software,ants.com,$28.3M,closed,saas,,Market: Software; USA; Source: Crunchbase
ARYx Therapeutics,aryx.com,$28.3M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Quartics,quartics.com,$28.1M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
Glacier Bay,glacierbay.com,$28.0M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
MyShape,myshape.com,$28.0M,closed,shopping,,Market: Shopping; USA; Source: Crunchbase
Sirna Therapeutics,sirna.com,$28.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Alice.com,alice.com,$27.9M,closed,ecommerce,,Market: E-Commerce; USA; Source: Crunchbase
Touchstone Health,touchstoneh.com,$27.5M,closed,other,,USA; Source: Crunchbase
Aztek Networks,azteknetworks.net,$27.1M,closed,web hosting,,Market: Web Hosting; USA; Source: Crunchbase
Zeo,myzeo.com,$27.1M,closed,analytics,,Market: Analytics; USA; Source: Crunchbase
MooBella,moobella.com,$27.0M,closed,manufacturing,,Market: Manufacturing; USA; Source: Crunchbase
OnRequest Images,onrequestimages.com,$27.0M,closed,photo editing,,Market: Photo Editing; USA; Source: Crunchbase
Zilker Labs,zilkerlabs.com,$27.0M,closed,hardware,,Market: Semiconductors; USA; Source: Crunchbase
Multiply,multiply.com,$26.6M,closed,ecommerce,,Market: E-Commerce; IDN; Source: Crunchbase
Solairedirect,solairedirect.com,$26.6M,closed,cleantech,,Market: Clean Technology; FRA; Source: Crunchbase
Inimex Pharmaceuticals,inimexpharma.com,$26.5M,closed,biotech,,Market: Biotechnology; CAN; Source: Crunchbase
Oriel Therapeutics,orieltherapeutics.com,$26.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Autonomic Networks,autonomic-networks.com,$26.0M,closed,security,,Market: Security; Source: Crunchbase
Photonic Materials,heraldscotland.com,$25.8M,closed,other,,GBR; Source: Crunchbase
Inertia Beverage Group,inertiabev.com,$25.5M,closed,saas,,Market: Software; USA; Source: Crunchbase
Zattikka,zattikka.com,$25.5M,closed,online gaming,,Market: Online Gaming; GBR; Source: Crunchbase
TrovaGene,trovagene.com,$25.4M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Comat Technologies,comat.com,$25.0M,closed,other,,IND; Source: Crunchbase
NovaShunt,novashunt.ch,$25.0M,closed,healthtech,,Market: Health Care; GBR; Source: Crunchbase
Nurien Software,nurien.com,$25.0M,closed,virtual worlds,,Market: Virtual Worlds; Source: Crunchbase
PharmaNation,pharmanation.com,$25.0M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Ruralco Holdings,ruralco.com.au,$25.0M,closed,other,,AUS; Source: Crunchbase
RatePoint,smallbiztrends.com,$24.5M,closed,email marketing,,Market: Email Marketing; USA; Source: Crunchbase
Xytis,xytis.com,$24.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Pathway Therapeutics,pathwaytx.com,$24.4M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Anaphore,anaphoreinc.com,$24.3M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
AutoVirt,autovirt.com,$24.3M,closed,saas,,Market: Software; USA; Source: Crunchbase
Exit41,exit41.com,$24.2M,closed,saas,,Market: Software; USA; Source: Crunchbase
Eddingpharm (Cayman),eddingpharm.com,$24.0M,closed,biotech,,Market: Biotechnology; HKG; Source: Crunchbase
UC CEIN,cein.ucla.edu,$24.0M,closed,edtech,,Market: Education; USA; Source: Crunchbase
NeurAxon,nrxn.com,$23.5M,closed,biotech,,Market: Biotechnology; CAN; Source: Crunchbase
Command Information,commandinformation.com,$23.5M,closed,other,,USA; Source: Crunchbase
Femta Pharmaceuticals,femtapharma.com,$23.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Syndexa Pharmaceuticals,syndexa.com,$23.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Altair Therapeutics,altairthera.com,$23.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Springleaf Therapeutics,springleaftx.com,$23.3M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
UGOBE,idahostatesman.com,$23.2M,closed,toys,,Market: Toys; USA; Source: Crunchbase
SeeSaw Networks,seesawnetworks.com,$23.1M,closed,adtech,,Market: Advertising; USA; Source: Crunchbase
eBillme,ebillme.com,$23.0M,closed,ecommerce,,Market: E-Commerce; USA; Source: Crunchbase
ZillionTV,zilliontv.tv,$22.9M,closed,gaming,,Market: Games; USA; Source: Crunchbase
Anagran,anagran.com,$22.6M,closed,web hosting,,Market: Web Hosting; USA; Source: Crunchbase
Cybernet Software Systems,services.cybernetsoft.com,$22.5M,closed,saas,,Market: Enterprise Software; USA; Source: Crunchbase
Xenome,xenome.com,$22.5M,closed,biotech,,Market: Biotechnology; NOR; Source: Crunchbase
Waterstone Pharmaceuticals,waterstonepharma.com,$22.4M,closed,biotech,,Market: Biotechnology; CHN; Source: Crunchbase
Atrica,atrica.com,$22.2M,closed,web hosting,,Market: Web Hosting; USA; Source: Crunchbase
SiCortex,sicortex.com,$22.1M,closed,other,,USA; Source: Crunchbase
CardioMind,cardiomind.com,$22.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
McKinnon & Clarke,mckinnon-clarke.com,$22.0M,closed,services,,Market: Consulting; GBR; Source: Crunchbase
Microfinance International,mfi-corp.com,$22.0M,closed,fintech,,Market: Finance; USA; Source: Crunchbase
Chronicity,chronicityinc.com,$21.6M,closed,services,,Market: Consulting; USA; Source: Crunchbase
Azaire Networks,azairenet.com,$21.0M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
nivio,nivio.com,$21.0M,closed,cloud data services,,Market: Cloud Data Services; IND; Source: Crunchbase
Talima Therapeutics,talima.com,$21.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
ZettaCore,zettacore.com,$21.0M,closed,hardware,,Market: Semiconductors; USA; Source: Crunchbase
iKoa,ikoa.com,$20.7M,closed,hardware,,Market: Semiconductors; USA; Source: Crunchbase
Inclinix,inclinix.com,$20.6M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Myrio,myrio.com,$20.5M,closed,television,,Market: Television; USA; Source: Crunchbase
Lectus Therapeutics,lectustherapeutics.com,$20.3M,closed,biotech,,Market: Biotechnology; GBR; Source: Crunchbase
Aquest Systems,aquestsystems.com,$20.0M,closed,hardware,,Market: Semiconductors; USA; Source: Crunchbase
Century Hospice,centuryhospice.com,$20.0M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
HeySpace,heyspace.com,$20.0M,closed,gaming,,Market: Games; CHN; Source: Crunchbase
HiWiFi,hiwifi.com,$20.0M,closed,hardware + software,,Market: Hardware + Software; CHN; Source: Crunchbase
Kickfire,kickfire.com,$20.0M,closed,analytics,,Market: Analytics; USA; Source: Crunchbase
Kiha Software,kiha.com,$20.0M,closed,cloud data services,,Market: Cloud Data Services; USA; Source: Crunchbase
LEAD Therapeutics,leadtherapeutics.com,$20.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Nereus Pharmaceuticals,nereuspharm.com,$20.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
R&V,randv.com,$20.0M,closed,adtech,,Market: Advertising; CHN; Source: Crunchbase
Sleep Solutions,sleepsolutions.com,$20.0M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Mendocino Software,dciginc.com,$19.7M,closed,saas,,Market: Software; USA; Source: Crunchbase
Clean Runner,cleanrunner.com,$19.6M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
Axial Biotech,axialbiotech.com,$19.4M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
U4EA Wireless,u4eawireless.net,$19.3M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Moblyng,moblyng.com,$19.1M,closed,gaming,,Market: Games; USA; Source: Crunchbase
Viacor,viacorinc.com,$19.0M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Celona Technologies,celona.com,$19.0M,closed,saas,,Market: Software; GBR; Source: Crunchbase
Certeon,certeon.com,$19.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
WiNetworks,winetworks.com,$19.0M,closed,mobile,,Market: Mobile; USA; Source: Crunchbase
Quick Hit,quickhit.com,$18.9M,closed,sports,,Market: Sports; USA; Source: Crunchbase
Kardia Health Systems,kardiahealth.com,$18.9M,closed,healthtech,,Market: Health Care; USA; Source: Crunchbase
Akella,en.akella.com,$18.7M,closed,saas,,Market: Software; RUS; Source: Crunchbase
Andigilog,andigilog.com,$18.0M,closed,hardware,,Market: Semiconductors; USA; Source: Crunchbase
Attune Systems,storagenewsletter.com,$18.0M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
Empower Interactive Group,eigroup.com,$18.0M,closed,other,,Source: Crunchbase
NBO TV,nbo-tv.com,$18.0M,closed,media,,Market: News; NZL; Source: Crunchbase
TransPharma Medical,transpharma-medical.com,$18.0M,closed,biotech,,Market: Biotechnology; ISR; Source: Crunchbase
Six Degrees Games,sixdegreesgames.com,$18.0M,closed,gaming,,Market: Games; USA; Source: Crunchbase
QuikCycle,quikcycle.com,$17.8M,closed,saas,,Market: Software; USA; Source: Crunchbase
Anadys,anadyspharma.com,$17.5M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Breaktime Studios,breaktimestudios.com,$17.4M,closed,mobile games,,Market: Mobile Games; USA; Source: Crunchbase
Silicon Hive,siliconhive.com,$17.0M,closed,hardware,,Market: Semiconductors; NLD; Source: Crunchbase
JackPot Rewards,jackpotrewards.com,$16.7M,closed,curated web,,Market: Curated Web; USA; Source: Crunchbase
Active Storage,getactivestorage.com,$16.4M,closed,saas,,Market: Enterprise Software; USA; Source: Crunchbase
Aquapharm Biodiscovery,aquapharm.co.uk,$16.2M,closed,biotech,,Market: Biotechnology; GBR; Source: Crunchbase
Amitive,amitive.com,$16.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
Equitas Holdings,equitas.in,$16.0M,closed,fintech,,Market: Finance; IND; Source: Crunchbase
Communicado,communicado-inc.com,$15.6M,closed,saas,,Market: Software; USA; Source: Crunchbase
LucidEra,lucidera.com,$15.6M,closed,saas,,Market: Software; USA; Source: Crunchbase
Sencera,sencera.com,$15.6M,closed,cleantech,,Market: Clean Technology; USA; Source: Crunchbase
ARPU,arpuinc.com,$15.6M,closed,adtech,,Market: Advertising; USA; Source: Crunchbase
Zyraz Technology,zyraz.com,$15.4M,closed,biotech,,Market: Biotechnology; MYS; Source: Crunchbase
In2Games,in2games.uk.com,$15.3M,closed,gaming,,Market: Games; GBR; Source: Crunchbase
MyCube,mycube.com,$15.1M,closed,networking,,Market: Networking; SGP; Source: Crunchbase
Fashion Playtes,fashionplaytes.com,$15.0M,closed,ecommerce,,Market: E-Commerce; USA; Source: Crunchbase
Avantra Biosciences,avantrabio.com,$15.0M,closed,biotech,,Market: Biotechnology; USA; Source: Crunchbase
Apreso Classroom,apreso.com,$15.0M,closed,edtech,,Market: Education; USA; Source: Crunchbase
C$ cMoney,cmoney.com,$15.0M,closed,fintech,,Market: Finance; USA; Source: Crunchbase
Current Media,current.com,$15.0M,closed,web hosting,,Market: Web Hosting; USA; Source: Crunchbase
Discovery Bay Games,discoverybaygames.com,$15.0M,closed,consumer goods,,Market: Consumer Goods; USA; Source: Crunchbase
Guruji,guruji.com,$15.0M,closed,search,,Market: Search; IND; Source: Crunchbase
Healthrageous,healthrageous.com,$15.0M,closed,hardware + software,,Market: Hardware + Software; USA; Source: Crunchbase
Octavian,octavian-tech.com,$15.0M,closed,saas,,Market: Software; USA; Source: Crunchbase
Open-Plug,openplug.com,$15.0M,closed,mobile software tools,,Market: Mobile Software Tools; FRA; Source: Crunchbase
United Mobile,united-mobile.com,$15.0M,closed,mobile,,Market: Mobile; CHE; Source: Crunchbase
